train_size: 647
test_size: 72
begin training...
total train batches21
total test_batches3
Epoch 1/100, running_loss: 0.713462, test_loss: 0.411658, MSE: 0.382416, IC: -0.002743, RIC: 0.000223, Precision@10: 0.118750
Epoch 68/100, running_loss: 0.012749, test_loss: 0.233001, MSE: 0.208492, IC: -0.011595, RIC: -0.033999, Precision@10: 0.155208
Epoch 69/100, running_loss: 0.011981, test_loss: 0.230860, MSE: 0.205884, IC: -0.023525, RIC: -0.044611, Precision@10: 0.156250
Epoch 70/100, running_loss: 0.012357, test_loss: 0.223999, MSE: 0.199672, IC: 0.027868, RIC: -0.016340, Precision@10: 0.169792
Epoch 71/100, running_loss: 0.013044, test_loss: 0.207189, MSE: 0.181337, IC: -0.020933, RIC: -0.045638, Precision@10: 0.162500
Epoch 72/100, running_loss: 0.012406, test_loss: 0.207991, MSE: 0.185919, IC: 0.036933, RIC: 0.012714, Precision@10: 0.197917
Epoch 73/100, running_loss: 0.011762, test_loss: 0.219136, MSE: 0.193717, IC: -0.012043, RIC: -0.041925, Precision@10: 0.158333
Epoch 74/100, running_loss: 0.011809, test_loss: 0.208267, MSE: 0.184768, IC: -0.001796, RIC: -0.034245, Precision@10: 0.171875
Epoch 75/100, running_loss: 0.012516, test_loss: 0.221724, MSE: 0.198827, IC: 0.038139, RIC: 0.007500, Precision@10: 0.184375
Epoch 76/100, running_loss: 0.012588, test_loss: 0.217592, MSE: 0.193895, IC: -0.023871, RIC: -0.056771, Precision@10: 0.153125
Epoch 77/100, running_loss: 0.011731, test_loss: 0.232040, MSE: 0.206262, IC: -0.013269, RIC: -0.030852, Precision@10: 0.147917
Epoch 78/100, running_loss: 0.011739, test_loss: 0.260709, MSE: 0.233691, IC: -0.013033, RIC: -0.052189, Precision@10: 0.164583
Epoch 79/100, running_loss: 0.011971, test_loss: 0.230513, MSE: 0.205881, IC: 0.017438, RIC: -0.022000, Precision@10: 0.187500
Epoch 80/100, running_loss: 0.012321, test_loss: 0.233601, MSE: 0.208548, IC: 0.015855, RIC: -0.009277, Precision@10: 0.165625
